sku,model
1030,Brother AX-10
1030,Brother AX-10 C
1030,Brother AX-10 Oeko
1030,Brother AX-100
1030,Brother AX-110
1030,Brother AX-12
1030,Brother AX-12 M
1030,Brother AX-120
1030,Brother AX-130
1030,Brother AX-140
1030,Brother AX-145
1030,Brother AX-15
1030,Brother AX-18
1030,Brother AX-20
1030,Brother AX-210
1030,Brother AX-22
1030,Brother AX-220
1030,Brother AX-230
1030,Brother AX-24
1030,Brother AX-240
1030,Brother AX-245
1030,Brother AX-25
1030,Brother AX-250
1030,Brother AX-26
1030,Brother AX-28
1030,Brother AX-30
1030,Brother AX-300
1030,Brother AX-310
1030,Brother AX-320
1030,Brother AX-325
1030,Brother AX-33
1030,Brother AX-330
1030,Brother AX-340
1030,Brother AX-35
1030,Brother AX-350
1030,Brother AX-370
1030,Brother AX-40
1030,Brother AX-400
1030,Brother AX-410
1030,Brother AX-420
1030,Brother AX-425
1030,Brother AX-430
1030,Brother AX-440
1030,Brother AX-45
1030,Brother AX-450
1030,Brother AX-475
1030,Brother AX-500
1030,Brother AX-525
1030,Brother AX-550
1030,Brother AX-600
1030,Brother AX-625
1030,Brother CE 340
1030,Brother CE 360
1030,Brother CE 380
1030,Brother Compactronic 300
1030,Brother Compactronic 300 M
1030,Brother Compactronic 310
1030,Brother Compactronic 320
1030,Brother Compactronic 340
1030,Brother Compactronic 35
1030,Brother Compactronic 350
1030,Brother Compactronic 360
1030,Brother Compactronic 380
1030,Brother Correctronic 145
1030,Brother Correctronic 320
1030,Brother Correctronic 340
1030,Brother Correctronic 360
1030,Brother Correctronic 380
003R99709,Brother DCP-1000
DR8000,Brother DCP-1000
DR8000RT,Brother DCP-1000
TN8000,Brother DCP-1000
TN8000RT,Brother DCP-1000
LC41LC47LC900BKT-PR4,Brother DCP-105 C
LC41LC47LC900BT,Brother DCP-105 C
LC41LC47LC900CT,Brother DCP-105 C
LC41LC47LC900MT,Brother DCP-105 C
LC41LC47LC900YT,Brother DCP-105 C
